Timestamp (us),X (g),Y (g),Z (g)
3333453421,-0.213399,0.053288,0.899468
3333474868,-0.161558,0.052710,0.900828
3333496315,-0.109716,0.052132,0.902188
3333517764,-0.160522,0.098940,0.850647
3333539212,-0.160098,0.146211,0.849932
3333560660,-0.161133,0.099982,0.900114
3333582108,-0.160947,0.051668,0.851361
3333603556,-0.161133,0.099982,0.900114
3333625001,-0.161133,0.099982,0.900114
3333646447,-0.161133,0.099982,0.900114
3333667893,-0.161133,0.099982,0.900114
3333689340,-0.161558,0.052710,0.900828
3333710785,-0.161558,0.052710,0.900828
3333732233,-0.161558,0.052710,0.900828
3333753679,-0.161320,0.148295,0.948867
3333775124,-0.161558,0.052710,0.900828
3333796569,-0.161558,0.052710,0.900828
3333818017,-0.160522,0.098940,0.850647
3333839466,-0.109106,0.051090,0.852721
3333860913,-0.160522,0.098940,0.850647
3333882363,-0.108867,0.146675,0.900760
3333903810,-0.056840,0.097783,0.853367
3333925257,-0.109292,0.099403,0.901474
3333946705,-0.109106,0.051090,0.852721
3333968151,-0.161558,0.052710,0.900828
3333989598,-0.160522,0.098940,0.850647
3334011043,-0.109716,0.052132,0.902188
3334032490,-0.160522,0.098940,0.850647
3334053935,-0.212975,0.100560,0.898754
3334075381,-0.161558,0.052710,0.900828
3334096826,-0.212788,0.052246,0.850001
3334118271,-0.161744,0.101024,0.949582
3334139718,-0.161133,0.099982,0.900114
