Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
89269373397,-297.764435,141.930923,81.667702,0.036002,0.801235,-1.483860
89269393454,-329.931458,172.177399,111.655914,0.044967,0.873785,-1.229088
89269413510,-355.486694,187.043365,147.107651,-0.012982,0.761077,-0.936385
89269433567,-407.261963,193.822617,172.631546,-0.049844,0.593602,-0.716473
89269453624,-445.875305,207.237244,184.333145,-0.033528,0.624170,-0.599383
89269473681,-483.598877,207.209824,212.285019,0.069146,0.688542,-0.380892
89269493738,-550.144836,192.606262,248.294083,0.051699,0.561249,-0.315860
89269513793,-595.466187,190.938873,274.136292,0.007463,0.511394,-0.297162
89269533849,-634.429993,214.395355,318.636353,0.039576,0.355759,-0.078459
89269553906,-687.784973,210.085190,344.827759,0.026476,0.037450,0.235889
89269573962,-746.468079,176.176193,335.708374,0.106912,-0.118564,0.334547
89269594019,-743.734192,118.977234,333.080872,0.113351,-0.180075,0.276607
89269614076,-677.282654,103.060532,298.670868,0.068527,-0.141395,-0.079593
89269634133,-533.181274,88.277603,259.223114,0.038542,-0.427327,-0.418768
89269654189,-421.460449,53.726112,229.050797,-0.093708,-0.811682,-0.632887
89269674245,-303.679626,54.133522,185.852051,-0.134432,-0.892445,-0.526939
89269694301,-234.425217,57.178646,169.198944,0.022574,-0.578614,-0.248723
89269714357,-152.845276,35.897465,183.669891,-0.123379,-0.771350,-0.297662
89269734414,-191.805862,65.515030,174.094208,-0.353575,-1.024157,-0.342952
89269754470,-231.328247,81.706757,165.795547,-0.213248,-0.665933,-0.202096
89269774526,-166.875198,41.461227,184.400360,-0.292463,-0.647583,-0.304947
89269794584,-112.889503,25.357233,184.922409,-0.471523,-0.749180,-0.376774
89269814640,-109.002525,20.403252,182.337082,-0.561723,-0.965862,-0.181215
89269834697,-100.654961,-5.533707,168.095703,-0.591528,-1.129861,-0.150486
89269854752,-97.943954,-21.901730,159.270859,-0.635145,-1.262570,-0.441269
89269874809,-101.344604,-15.728350,145.849243,-0.673912,-1.617833,-0.752564
89269894865,-79.789436,-5.771394,113.256912,-0.662551,-1.787943,-0.764324
89269914921,-51.965843,1.514908,74.434563,-0.561984,-1.732114,-0.763880
89269934978,-29.624508,5.375512,43.138702,-0.498574,-1.603965,-0.656114
89269955036,-11.909677,5.071359,19.553999,-0.479459,-1.442179,-0.620977
89269975092,6.777026,8.145176,4.403094,-0.498884,-1.440928,-0.598277
89269995149,32.813469,9.056871,-15.046488,-0.521794,-1.441946,-0.558195
89270015205,45.098347,7.262862,-32.923965,-0.491511,-1.385149,-0.426448
89270035260,59.445732,-5.151336,-52.464447,-0.489105,-1.353148,-0.390910
89270055316,83.905548,-13.519375,-69.213745,-0.486409,-1.303783,-0.494668
89270075372,130.891907,-16.903856,-80.113823,-0.500076,-1.350049,-0.521775
89270095429,195.790665,-25.833145,-97.259453,-0.466880,-1.371621,-0.487162
89270115486,280.676117,-39.350185,-120.259407,-0.452165,-1.435583,-0.448319
89270135543,335.733032,-53.818546,-141.579071,-0.418879,-1.351498,-0.332053
89270155600,375.265228,-73.014267,-155.560562,-0.387120,-1.150395,-0.082024
89270175656,396.050446,-113.319321,-168.164841,-0.441540,-1.111718,0.144935
89270195711,436.469757,-142.366302,-201.555511,-0.392510,-1.032584,-0.020677
89270215768,489.704620,-156.218155,-201.483719,-0.241502,-0.828354,-0.080868
89270235824,583.330078,-173.579041,-186.178848,-0.203175,-0.705619,0.124821
89270255881,629.589600,-198.325836,-178.310699,-0.183244,-0.637851,0.436133
89270275937,607.107666,-209.529068,-173.135727,-0.145088,-0.503284,0.556033
89270295995,597.179932,-218.369232,-170.127869,-0.034444,-0.420588,0.649410
89270316051,520.285889,-228.035706,-160.222733,0.004072,-0.190047,0.706951
89270336108,427.481842,-231.343719,-164.753204,0.039472,-0.023369,0.567383
89270356164,421.469910,-237.740997,-165.758011,0.088418,0.203634,0.382154
89270376219,472.736633,-237.302277,-156.295593,0.175015,0.366312,0.098099
89270396276,510.389709,-223.737579,-129.486816,0.222645,0.534506,-0.069534
89270416332,527.620544,-204.235748,-106.671532,0.250361,0.646455,-0.245398
89270436389,548.359863,-194.517883,-82.274361,0.294913,0.605632,0.036022
89270456445,439.648163,-212.589157,-70.700340,0.111255,0.306285,0.177204
89270476503,358.068726,-232.529572,-78.770309,0.063005,0.359986,-0.159525
89270496559,377.764862,-236.948883,-76.063217,0.052147,0.548998,-0.592927
89270516616,423.157074,-225.825623,-45.064327,0.063180,0.499635,-0.871663
89270536671,397.065735,-205.489990,-16.146917,0.003404,0.204515,-0.821338
89270556728,239.251984,-180.346832,-4.915348,-0.036398,0.148710,-0.806322
89270576784,131.719116,-159.143768,7.506616,-0.004964,0.191611,-1.248890
89270596840,132.444275,-119.895187,11.864606,-0.025683,0.016023,-1.552997
89270616896,129.042358,-82.987137,1.079540,0.005132,-0.082684,-1.236072
